,text,l1,l2,l3,wiki_name,word_count
122474,"Campbell Hospital is a National Health Service hospital in Portsoy, Aberdeenshire, Scotland. It is administered by NHS Grampian. It is currently a geriatric hospital, although it was formerly known as Campbell Infectious Diseases Hospital. Campbell Hospital is scheduled to close when development work at Chalmers Hospital, Banff is completed.",Place,Building,Hospital,"Campbell_Hospital,_Portsoy",49
99246,The Favàritx Lighthouse is an active lighthouse on the Spanish island of Menorca.,Place,Tower,Lighthouse,Favàritx_Lighthouse,13
135736,"Château de la Petite Filolie is a château in Dordogne, Aquitane, France.",Place,Building,Castle,Château_de_la_Petite_Filolie,12
100462,"Skyrush is an Intamin prototype Wing Coaster with winged seating at Hersheypark in Hershey, Pennsylvania. It opened to the general public on May 26, 2012. Skyrush is Hersheypark's 12th roller coaster, and its third coaster made by Intamin. Skyrush features a 212-foot (65 m) cable lift (measured to the creek floor) that raises the train at a 17-mile-per-hour (27 km/h) rate. Skyrush has yellow track and light blue support columns. Skyrush's trains are the first of their type in the world. Each train weighs 13 tons. In each car, two seats are positioned over the track and two seats hang over the sides of the track, inspiring Skyrush's tagline \""Ride the Edge\"". Skyrush's top speed is 76-mile-per-hour (122 km/h). The ride achieves a maximum of 5 g's just at the bottom of the first drop. The ride's highest negative g-force is -2 g's on the second airtime hill. The coaster is located in The Hollow section of Hersheypark, next to the Comet and SooperDooperLooper, and the ride itself is mainly set above Spring Creek. In October, when Hersheypark is decorated in a Halloween theme (Hersheypark in the Dark), the ride is dubbed \""Scarerush.\"" Skyrush is the tallest roller coaster in the plot of land containing the layout of Skyrush.",Place,AmusementParkAttraction,RollerCoaster,Skyrush,209
105687,M-82 is a state trunkline in the Lower Peninsula in the US state of Michigan that travels between Fremont and Howard City. The section between Newaygo and Howard City travels through Fremont and along the southern edge of Manistee National Forest. The current version of M-82 is actually the second in the state; the first usage appeared in the Upper Peninsula by 1919. The Lower Peninsula routing has been in use since the 1920s. Various extensions and truncations have shifted the terminus as far west as New Era or Hesperia in the past. The current route was finalized in the late 1970s,Place,RouteOfTransportation,Road,M-82_(Michigan_highway),102
120778,"HM Prison Exeter is a local men's prison, located in Exeter in the county of Devon, England. The term 'local' means that this prison holds people on remand to the local courts. Exeter Prison is operated by Her Majesty's Prison Service.",Place,Building,Prison,HM_Prison_Exeter,41
143576,"Bukkehåmmårtjørna is a small lake in eastern Jotunheimen. This is the highest lake that has been investigated as a climate archive in southern Norway, being situated 1594 m above sea level. A small glacier, Bukkehåmmårbreen, is draining meltwater into the lake at present. This glacier reformed just short of 6,000 years ago following the Holocene climate optimum and has existed continuously since. After growing gradually towards 4,000 years before present (BP) the glacier has been of near present size over the last 4,000 years, growing slightly larger over the last 2-2,500 years. Prior to the climate optimum and following the deglaciation the glacier melted some 10,000 years before present. The flat valley-shoulder that the lake is eroded into is locally known as a \""fly\"". This particular level at about 1600 m a.s.l. and is believed to have been formed between 100 and 85 million years ago during the Cretaceous period. Standing on the shore-line of Bukkehåmmårtjørna thus means that you are standing on the remnants of a landscape that the Dinosaurs ruled. The small lake existed prior to the Last Glacial Maximum since it contains organic material older than 30,000 years old. Currently being reassessed, growing evidence now indicates that much of the landscape that can be seen from this site is practically unchanged since the age of the Mammoth who lived on the wide plateaus more than 40,000 years ago. The view from the lake, or higher up on the mountain-peak Høgdebrotet therefore includes a view into the landscapes of the distant past, including the landscape of the dinosaurs, the pre-ice age landscape, the landscape of the Mammoth during the last glacial period. By squinting your eyes and imagining the present forest-limit below, located some 300 m higher than at present and by imagining the glaciers of Leirungsalpene being absent you can also see the landscape as it was 7,000 years ago.",Place,BodyOfWater,Lake,Bukkehåmmårtjørna,313
147102,"Sykia (Greek: Συκιά, Sykia) is a small doline in Attica, Greece. The doline, which has a depth of about 20 metres (66 ft), has been known since the mid-1940s and is located near the Hymettan peak of Korakovouni at an altitude of approximately 300 m above sea level. It takes its name from the fig tree growing in the debris cone on the doline floor. It is next to the asphalt road continuing from the cemetery of Voula. The doline was first recorded by a British airman immediately following the Second World War and was investigated soon after. It is now frequently used as a good practice area for single rope technique by Athenian caving clubs. It lies very close to the better known Vari Cave.",Place,NaturalPlace,Cave,Sykia_(Voula),126
146401,"Jatun Q'asa (Quechua jatun, hatun big, q'asa mountain pass, \""big mountain pass\"", also spelled Jatun Khasa) is a 4,398-metre-high (14,429 ft) mountain in the Bolivian Andes. It is located in the Potosí Department, Tomás Frías Province, Yocalla Municipality. It lies east of the village of Puka Wasi (Puca Huasi).",Place,NaturalPlace,Mountain,Jatun_Q'asa_(Yocalla),49
147911,"The Saddle Mountains consists of an upfolded anticline ridge of basalt in Grant County of central Washington state. The ridge, reaching to 2,700 feet, terminates in the east south of Othello, Washington near the foot of the Drumheller Channels. It continues to the west where it is broken at Sentinel Gap (a water gap through which the Columbia River passes) before ending in the foothills of the Cascade Mountains.",Place,NaturalPlace,MountainRange,Saddle_Mountains,69
101406,"Skwentna Airport (IATA: SKW, ICAO: PASW, FAA LID: SKW) is a state-owned public-use airport located in Skwentna, in the Matanuska-Susitna Borough of the U.S. state of Alaska. As per Federal Aviation Administration records, the airport had 496 passenger boardings (enplanements) in calendar year 2008, an increase of 64% from the 303 enplanements in 2007. This airport is included in the FAA's National Plan of Integrated Airport Systems for 2009–2013, which categorized it as a general aviation facility.",Place,Infrastructure,Airport,Skwentna_Airport,77
113345,"The Grand Street Bridge was a double-leaf deck-girder bascule bridge in Bridgeport, Connecticut, United States, that spanned the Pequonnock River and connected Grand Street and Artic Street. It was one of three movable bridges planned by the City of Bridgeport in 1916 at the request of the War Department during World War I. Construction was completed in 1919, but the delays surrounding the construction went to the Connecticut Supreme Court in case of Edward DeV. Tompkins, Inc. vs. City of Bridgeport, Connecticut. The court ruled in favor of Tompkins and awarded damages equal to the contract. In 1936, the bridge had excessive settling and required the replacement of its southeast pier. As part of the repairs, a new floor and electrical system were installed. In 1965, the floor was replaced with a steel grate on I-beam floor. In 1984, the eastern approach span was replaced and the northwest trunnion post was reconstructed. The bridge was closed in the 1990s and dismantled in 1999.",Place,RouteOfTransportation,Bridge,Grand_Street_Bridge_(Connecticut),163
139824,"The Cornwallis River is in Kings County, Nova Scotia, Canada. It has a meander length of approximately 48 km through eastern Kings County, from its source on the North Mountain at Grafton to its mouth near Wolfville on the Minas Basin. The lower portion of the river beginning at Kentville is tidal and there are extensive tidal marshes in the lower reaches. In its upper watershed at Berwick, the river draws on the Caribou Bog while a longer branch continues to the official source, a stream on the North Mountain at Grafton.",Place,Stream,River,Cornwallis_River,92
155091,"12374 Rakhat, provisional designation 1994 JG9, is an eccentric, stony asteroid from the inner regions of the asteroid belt, approximately 4.5 kilometers in diameter. It was discovered on 15 May 1994, by American astronomer and software engineer Charles de Saint-Aignan at the U.S. Palomar Observatory in California. The S-type asteroid orbits the Sun at a distance of 1.8–3.3 AU once every 4 years and 1 month (1,487 days). Its orbit has an eccentricity of 0.31 and an inclination of 9° with respect to the plane of the ecliptic. The first precovery was taken at Palomar Observatory in 1954, extending the asteroid's observation arc by 40 years prior to its discovery. A rotational light-curve was obtained from photometric observations made at the U.S. Palomar Transient Factory in May 2010. It gave a rotation period of 18.1702±0.0205 hours with a brightness amplitude of 0.31 in magnitude (U=2). According to the survey carried out by the NEOWISE mission of NASA's space-based Wide-field Infrared Survey Explorer, the asteroid measures 4.6 kilometers in diameter and its surface has an albedo of 0.21, while the Collaborative Asteroid Lightcurve Link assumes a standard albedo for stony asteroids of 0.20 and calculates a diameter of 4.4 kilometers. The minor planet was named \""Rakhat\"" after the fictional planet in the novel The Sparrow by Mary Doria Russell. The novel begins in 2019, when SETI at the Arecibo, picks up radio broadcasts of music from this planet in the vicinity of Alpha Centauri. The first expedition is organized by the Jesuit order, known for its missionary, linguistic and scientific activities. The novel was followed by the sequel Children of God. Naming citation was published on 28 March 2002 (M.P.C. 45234).",Place,CelestialBody,Planet,12374_Rakhat,280
108136,"The Bessho Line (別所線 Bessho-sen) is an 11.6 km (7.2 mi) Japanese railway line in Ueda, Nagano, Japan, operated by the private railway operator Ueda Electric Railway (上田電鉄 Ueda Dentetsu). It connects Ueda and Bessho-Onsen stations. This is currently the only railway line Ueda Dentetsu operates. Although the company is the root of its holding company, Ueda Kōtsū (上田交通, \""Ueda Transport\""), the group now mainly operates resort amusement facilities and bus lines. Ueda Kōtsū is owned by Tokyu Corporation. The railway line lacked funds to upgrade the infrastructure to meet the new safety standards, and separated to become the present company.",Place,RouteOfTransportation,RailwayLine,Ueda_Electric_Railway_Bessho_Line,101
